year,muq_weighted,country
2009,-0.20507126365387593,Japan
2010,0.20977362030119126,Japan
2011,0.19614202866570124,Japan
2012,-0.01030742325244175,Japan
2013,0.11480883749379306,Japan
2014,0.042235223271598614,Japan
2015,0.1613817765413587,Japan
2016,0.02931417769627286,Japan
2017,0.10521029466993133,Japan
2018,0.03151326384813054,Japan
2019,-0.04070486844802647,Japan
2020,-0.1543448177177962,Japan
2021,0.1489921952939135,Japan
2022,0.12584964716675542,Japan
1986,0.4922908657007005,Korea
1987,0.513365080039765,Korea
1988,0.49746557589740353,Korea
1989,0.2752442704821685,Korea
1990,0.4267283165221697,Korea
1991,0.357379368742276,Korea
1992,0.21393473675099392,Korea
1993,0.21388584998914575,Korea
1994,0.2912992885184082,Korea
1995,0.8416164714425541,Korea
1996,0.2227064723747947,Korea
1997,0.16773600123278343,Korea
1998,-0.07358399075606521,Korea
1999,0.26473739930869195,Korea
2000,0.4198158804152641,Korea
2001,0.2550243365039655,Korea
2002,0.3346651366704856,Korea
2003,0.20440221416832519,Korea
2004,0.24287139317320625,Korea
2005,0.14899943052548734,Korea
2006,0.16266615525695075,Korea
2007,0.23433569922005637,Korea
2008,0.16408442391727787,Korea
2009,0.14682366710173864,Korea
2010,0.5552855947134828,Korea
2011,0.1724083688720981,Korea
2012,0.11409745675185565,Korea
2013,0.12745666956028126,Korea
2014,0.13312378422876725,Korea
2015,0.17757401720859223,Korea
2016,0.16660549565215127,Korea
2017,0.17110587987454098,Korea
2018,0.1969076376046296,Korea
2019,0.16286927194457693,Korea
2020,0.01350614935294901,Korea
2021,0.2168183630649462,Korea
2022,0.13078494485408157,Korea
2001,0.3063111705182322,Latvia
2002,0.27685804369149103,Latvia
2003,0.073866083459035,Latvia
2004,0.3638108208771802,Latvia
2005,0.4714174038107273,Latvia
2006,0.5546284775312985,Latvia
2007,0.6249410630861807,Latvia
2008,0.22587672765901706,Latvia
2009,-0.6985776533674816,Latvia
2010,-0.24242786215031636,Latvia
2011,0.3213767659546424,Latvia
2012,0.3913041081735353,Latvia
2013,0.13228244506360798,Latvia
2014,0.14725248222945822,Latvia
2015,0.18006434114501949,Latvia
2016,0.15257667800646751,Latvia
2017,0.27121233112897536,Latvia
2018,0.33130344751244795,Latvia
2019,0.21038823468606258,Latvia
2020,-0.05091339819073619,Latvia
2021,0.41330746562272236,Latvia
2022,0.45273573650288884,Latvia
2023,0.36567049210492525,Latvia
2001,0.4228733427396584,Lithuania
2002,0.4734466460792175,Lithuania
2003,0.4170590614587903,Lithuania
2004,0.3922219002964291,Lithuania
2005,0.5443461439279708,Lithuania
2006,0.48272758166092755,Lithuania
2007,0.6066597997360343,Lithuania
2008,0.42862708712974973,Lithuania
2009,-0.6985776533674816,Lithuania
2010,0.1459852835731237,Lithuania
2011,0.5826918416613157,Lithuania
2012,0.37207240890973137,Lithuania
2013,0.2508874432971937,Lithuania
2014,0.2207981508631809,Lithuania
2015,0.14045806391988724,Lithuania
2016,0.17846026347195892,Lithuania
2017,0.4057158948861791,Lithuania
2018,0.38631174320675216,Lithuania
2019,0.3153435381953631,Lithuania
2020,0.09517456676593004,Lithuania
2021,0.5053909759056255,Lithuania
2022,0.6878100122215061,Lithuania
2023,0.41111432714906354,Lithuania
2001,0.171082877867404,Luxembourg
2002,0.21231103127772402,Luxembourg
2003,0.22030287407889848,Luxembourg
2004,0.3276527697169704,Luxembourg
2005,0.3570073582352958,Luxembourg
2006,0.6255514142366452,Luxembourg
2007,0.48685159910378245,Luxembourg
2008,0.2937704086318671,Luxembourg
2009,-0.1362608732364904,Luxembourg
2010,0.4698683330008386,Luxembourg
2011,0.2255465403465816,Luxembourg
2012,0.24687578231940752,Luxembourg
2013,0.2834703267226808,Luxembourg
2014,0.2718870080677151,Luxembourg
2015,0.2508585039070626,Luxembourg
2016,0.2126267772931717,Luxembourg
2017,0.1892462268056114,Luxembourg
2018,0.2082428721325002,Luxembourg
2019,0.1972205175668179,Luxembourg
2020,0.188142242172592,Luxembourg
2021,0.6443915595629751,Luxembourg
2022,0.2898082250400569,Luxembourg
2023,0.408059096483933,Luxembourg
2001,0.17405690244890287,Malta
2002,0.21644960196312438,Malta
2003,0.06912517034427855,Malta
2004,0.1141569829956697,Malta
2005,0.188518689238714,Malta
2006,0.22436369539798337,Malta
2007,0.3131127414698959,Malta
2008,0.3635427815523928,Malta
2009,0.04121548686051964,Malta
2010,0.40196042809038596,Malta
2011,0.13502810890855493,Malta
2012,0.3019625872575802,Malta
2013,0.4622277798941802,Malta
2014,0.5435387612402636,Malta
2015,0.5263005017240848,Malta
2016,0.27762348934642095,Malta
2017,0.7130515517864926,Malta
2018,0.4372220965016411,Malta
2019,0.3124326880827611,Malta
2020,-0.07960523428513622,Malta
2021,0.6224035160370079,Malta
2022,0.2909470542965528,Malta
2023,0.7351780824695591,Malta
2001,0.28821271170025503,Netherlands
2002,0.18886858689275404,Netherlands
2003,0.11359557892941263,Netherlands
2004,0.1554266933265416,Netherlands
