city,Q_w1,K_100m,V_100m,house_price,gdp_per_capita,gdp_100m,pop_10k,per_capita_area_m2,fai_100m,city_tier,region4,province,fai_gdp_ratio,OCR_w1,Kstar_100m,ocr_cluster,ocr_color,Q_w2_extended,OCR_w2_extended
河源市,2.5836750697732955,2961.5359442553013,7524.780475790605,7262.75,27803.0,854.39775,281.8690469798658,36.864000000000004,608.2129,三线及以下,东部,广东省,0.7110988290426563,1.2864929958347504,2303.721762765287,1,黄色(轻度过度),1.4368845703153326,1.4811702924980044
汕头市,2.502227916886434,5936.245676539481,14717.434330490432,7522.25,35561.0,1974.4990000000003,530.611304347826,36.864000000000004,1426.922,三线及以下,东部,广东省,0.7206031853413936,0.8924451433589057,6642.370272950539,0,绿色(适度),1.8488739191438834,1.1213553776216219
金华市,2.467753170218044,10396.629398966425,25585.13327777783,10112.0,64819.0,3543.63805,686.0360081053698,36.864000000000004,1960.08735,二线,东部,浙江省,0.5526126952266873,0.49956355628475513,20799.569549062653,0,绿色(适度),2.7452532315892464,0.6882437495293943
保定市,2.4053243721134328,15047.421196504933,36513.360075712924,8599.25,29529.5,3238.73345,1148.4170243499796,36.864000000000004,2667.11425,二线,东部,河北省,0.8224526281419708,1.4271127019160401,10535.350148333084,1,黄色(轻度过度),2.0783697909355676,1.899136609678688
湛江市,2.395496613017459,6221.477571264629,14882.180027801302,5991.0,34272.5,2482.2285,672.8233023255814,36.864000000000004,1422.64255,三线及以下,东部,广东省,0.5722940657205902,0.7638961045014584,8128.904278928644,0,绿色(适度),1.9938915799749772,0.9665514831758328
菏泽市,2.3773475021570976,6366.446657844937,15079.077502191914,4728.25,29127.0,2480.6,865.023283000487,36.864000000000004,1145.77695,三线及以下,东部,山东省,0.46143328879571605,0.821034978476552,7746.917050359754,0,绿色(适度),2.043691154512044,0.8738276434283615
杭州市,2.2758519874822776,32514.08615268977,74514.5786914432,18791.75,118258.0,10681.9651,1071.8290490797544,36.864000000000004,5699.36885,新一线,东部,浙江省,0.5346286114732248,0.34979086740144827,93252.97312092545,0,绿色(适度),2.563458233090916,0.4159401575783024
亳州市,2.146579564701936,3791.0623973691736,8085.817534084085,4557.5,19691.0,994.3567,481.21246246246244,36.864000000000004,821.09725,三线及以下,中部,安徽省,0.8251765298619338,1.6911485145966587,2241.353302535277,2,橙色(中度过度),1.6786593813573027,1.5570402557556053
赣州市,2.093954158928357,9040.395309920192,18845.343798855065,5799.0,24454.5,2090.53235,880.8704168784951,36.864000000000004,2048.8586,三线及以下,中部,江西省,0.9789324167074733,1.5396048225357413,5871.244636018242,1,黄色(轻度过度),1.7516702962083457,1.51235637945282
宿州市,1.9280631465317315,5177.700223342485,9890.193397647952,5090.25,23342.5,1293.81875,527.1402352048558,36.864000000000004,1201.6858,三线及以下,中部,安徽省,0.9282890386199356,1.577145475626855,3276.869659373545,1,黄色(轻度过度),1.3729888795990506,1.7664806445235237
福州市,1.9118876545790695,26075.549870023526,50226.30520276052,17130.5,78755.0,5907.86195,792.7282065596651,36.864000000000004,5018.9856500000005,二线,东部,福建省,0.8502159755627471,0.7175353902620778,36367.536524803974,0,绿色(适度),1.6785135971621816,0.692632239476821
南京市,1.9089466204645436,35499.15736149927,68170.18604610748,21694.75,122717.5,10111.895,849.6432132963989,36.864000000000004,5479.76995,新一线,东部,江苏省,0.5425191572614254,0.42919180667410795,82817.55374667895,0,绿色(适度),1.7934172205865988,0.44770695072971955
廊坊市,1.8984738800406897,11531.01661643943,22517.580263301614,11562.25,56716.0,2590.0832,523.2245342886387,36.864000000000004,2296.1643000000004,三线及以下,东部,河北省,0.8854916693650621,0.8824912415046688,13061.993033461364,0,绿色(适度),1.5287950937436097,1.2774336451023163
宜宾市,1.8494838961864881,6352.88116098385,11679.954933581706,6863.75,35397.5,1589.4786,461.5324137931035,36.864000000000004,1352.016,三线及以下,西部,四川省,0.849836556117312,1.1555400022691216,5490.2669945128455,1,黄色(轻度过度),1.098600108802431,1.0843721262949138
上饶市,1.8438450704455709,9090.508281209197,16761.488882152215,6983.5,26996.0,1817.7664,641.6156763590392,37.408,1790.292,三线及以下,中部,江西省,0.9848856266679812,1.763940888457979,5153.522060002836,2,橙色(中度过度),1.361930889887342,1.7232135370971118
台州市,1.805636645890167,11694.699136946721,21255.38473337055,8787.5,61602.0,3726.25635,654.5225638911788,36.864000000000004,2134.3287499999997,三线及以下,东部,浙江省,0.5722888030797432,0.599828254904354,19506.656974982332,0,绿色(适度),2.043383659111356,0.6853472780120794
六安市,1.790206107975865,5474.111021213077,9724.58917162635,5446.75,22411.0,1062.3177,487.4693361702127,36.864000000000004,1034.2334,三线及以下,中部,安徽省,0.9737198024434504,2.0245335164317915,2701.552667403784,2,橙色(中度过度),1.358488406620279,2.0095816509579323
周口市,1.7718006246404303,9262.568300657094,16411.42430087889,4858.0,25682.0,2263.8615,903.075944333996,37.408,1862.1524,三线及以下,中部,河南省,0.822555796810008,1.408290347543636,6577.172325872306,1,黄色(轻度过度),1.1707476528632825,1.5902770449730272
