country_code,country_name,region,continent,income_group,latest_q_year,latest_q,latest_urban_pct,avg_q_2010s,avg_ci_gdp_2010s,avg_muq_2010s,q_crossover_year,q_crossover_urban_pct,q_crossover_services_pct,q_crossover_hc,ever_above_1,ever_below_1,gdp_per_capita
HRV,Croatia,Europe & Central Asia,Europe & Central Asia,High income,2019.0,3.2291394598998044,56.303247958306,3.695473097584391,0.19786870488757288,16.673891103553974,,,,,True,False,15563.598729502935
LTU,Lithuania,Europe & Central Asia,Europe & Central Asia,High income,2019.0,3.1239117794250753,67.245735168457,3.6865545138209277,0.19278598882979683,21.382517736645372,,,,,True,False,19608.794394555276
ZAF,South Africa,Sub-Saharan Africa,Africa,Upper middle income,2019.0,3.2506476203730212,63.4127255007908,3.653373312126604,0.17342626852249216,27.684614861676195,,,,,True,False,6533.711210328559
PHL,Philippines,East Asia & Pacific,East Asia & Pacific,Lower middle income,2019.0,3.1969704761671514,53.7157859948017,3.612555401641741,0.2282536472401918,17.96802562641282,,,,,True,False,3400.7894976707435
BWA,Botswana,Sub-Saharan Africa,Africa,Upper middle income,2019.0,3.6185455139734723,66.3271694845464,3.6023175570460544,0.272498981665943,11.801100393406745,,,,,True,False,7172.089564800266
TUR,Turkiye,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,2.6709661995926077,88.6618152857124,3.5679151155504307,0.28521965332932436,16.350723119592868,,,,,True,False,9395.233780013681
KGZ,Kyrgyz Republic,Europe & Central Asia,Europe & Central Asia,Lower middle income,2019.0,3.5137136128166606,34.8805205758044,3.536259149324637,0.3024048718163436,25.714735157839964,,,,,True,False,1421.999275041019
SYC,Seychelles,Sub-Saharan Africa,Africa,High income,2019.0,3.314441097685735,44.0049304031754,3.507865552497376,0.2978214107393067,14.26908896800243,,,,,True,False,19141.511874361484
PER,Peru,Latin America & Caribbean,Latin America,Upper middle income,2019.0,3.1846493809262797,83.1033003087105,3.4517604748622093,0.22878568058109963,17.01310622385307,,,,,True,False,7037.008036926032
GMB,"Gambia, The",Sub-Saharan Africa,Africa,Low income,2019.0,2.992363258093006,61.643210849607,3.42479643791523,0.1927759351276366,4.267101498529713,,,,,True,True,738.1867519874847
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",MENA,Upper middle income,2019.0,3.655751040381659,91.515966492507,3.412616711683623,0.22898427309511807,36.47599222159522,,,,,True,False,4170.114400346499
CYP,Cyprus,Europe & Central Asia,Europe & Central Asia,High income,2019.0,2.8399202471738865,66.7677357070518,3.2621022424252084,0.17314926203658923,6.149836289101378,,,,,True,False,20360.03539329813
KHM,Cambodia,East Asia & Pacific,East Asia & Pacific,Lower middle income,2019.0,2.966187165235868,39.5830241256026,3.2332938206668294,0.2703050553758306,18.577683742086823,,,,,True,False,2225.8770548568605
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",MENA,High income,2019.0,2.9830044846219455,79.5780017545962,3.227189639242476,0.3116041060291014,13.546479831659672,,,,,True,False,19180.18641528014
NIC,Nicaragua,Latin America & Caribbean,Latin America,Lower middle income,2019.0,2.937059623263889,58.5405671448072,3.215566758006672,0.25204109108168543,10.010914908824684,,,,,True,False,1958.6205152809596
MUS,Mauritius,Sub-Saharan Africa,Africa,Upper middle income,2019.0,3.0488148936360746,39.2509492806955,3.1946534663745436,0.19422811672453427,30.341518572142103,,,,,True,False,11568.253339982384
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",MENA,Lower middle income,2019.0,2.8489530057806425,42.4812027332648,3.1813867037953423,0.1576650813202635,18.546736406844854,1978.0,43.8347149234644,42.6907408544699,1.2578352689743042,True,True,2962.988920230023
BGR,Bulgaria,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,3.362531784793219,73.7162322998047,3.117948516172077,0.2015101299827501,28.101156730850946,,,,,True,True,10353.720458412725
CMR,Cameroon,Sub-Saharan Africa,Africa,Lower middle income,2019.0,3.04053259791573,53.9487914119331,3.113771618969694,0.18949192758802144,23.27820744706257,,,,,True,False,1555.2266047647747
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",MENA,Upper middle income,2019.0,2.3883347764822993,72.4824561380175,3.0819301603741094,0.38448364021520604,24.273331609799634,,,,,True,False,4468.453418836567
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",MENA,Lower middle income,2019.0,3.0479682827573895,85.8136174183656,3.0646837666696918,0.22896846316312763,23.91757628332219,,,,,True,False,3656.858271370109
BEN,Benin,Sub-Saharan Africa,Africa,Lower middle income,2019.0,2.8009458117319506,48.7125500590248,3.058708568158379,0.20915678083797698,12.988999221382347,,,,,True,False,1130.8213533979479
