geo,gdp_value,population,country_code,country,nuts_level,gdp_per_capita
DE925,9792.16,268062.0,DE,Germany,5,36529.45960262924
DE926,2800.73,66288.0,DE,Germany,5,42250.93531257543
DE927,4668.47,121295.0,DE,Germany,5,38488.56094645286
DE928,4965.16,156747.0,DE,Germany,5,31676.268126343726
DE929,65696.85,1134284.0,DE,Germany,5,57919.224814949346
DE931,6911.61,172477.0,DE,Germany,5,40072.64736747508
DE932,6362.35,198898.0,DE,Germany,5,31988.00390149725
DE933,7997.66,262954.0,DE,Germany,5,30414.67328886421
DE934,1605.42,46791.0,DE,Germany,5,34310.444316214656
DE935,6814.07,178099.0,DE,Germany,5,38260.01268957153
DE936,3116.58,113800.0,DE,Germany,5,27386.46748681898
DE937,7081.31,164657.0,DE,Germany,5,43006.431551649795
DE938,6056.57,143728.0,DE,Germany,5,42139.10998552822
DE939,7997.88,206375.0,DE,Germany,5,38754.11265899455
DE93A,3452.14,91059.0,DE,Germany,5,37911.02472023633
DE93B,5339.04,137793.0,DE,Germany,5,38746.81587598789
DE941,2322.41,81148.0,DE,Germany,5,28619.43609207867
DE942,4105.63,49563.0,DE,Germany,5,82836.59181244073
DE943,9938.42,174445.0,DE,Germany,5,56971.65295651925
DE944,10248.47,165741.0,DE,Germany,5,61834.247410115786
DE945,3708.87,75860.0,DE,Germany,5,48890.9833904561
DE946,5264.48,126390.0,DE,Germany,5,41652.662394176754
DE947,6582.08,188402.0,DE,Germany,5,34936.359486629655
DE948,8296.98,175549.0,DE,Germany,5,47263.04336680927
DE949,18083.01,331711.0,DE,Germany,5,54514.351348010765
DE94A,3340.03,100089.0,DE,Germany,5,33370.60016585239
DE94B,5995.15,143472.0,DE,Germany,5,41786.20218579235
DE94C,5895.42,169390.0,DE,Germany,5,34803.82549146939
DE94D,4622.05,131228.0,DE,Germany,5,35221.52284573414
DE94E,14278.12,356060.0,DE,Germany,5,40100.32017075774
DE94F,8611.52,145552.0,DE,Germany,5,59164.55974497087
DE94G,3844.41,89127.0,DE,Germany,5,43134.06711770844
DE94H,1983.13,55953.0,DE,Germany,5,35442.78233517416
DEA11,64081.57,614399.0,DE,Germany,5,104299.60009700537
DEA12,20262.32,501671.0,DE,Germany,5,40389.65776375354
DEA13,31287.56,572237.0,DE,Germany,5,54675.87730258617
DEA14,11076.69,230375.0,DE,Germany,5,48081.12859468258
DEA15,10956.7,267333.0,DE,Germany,5,40985.2131985202
DEA16,8007.51,172054.0,DE,Germany,5,46540.67908912318
DEA17,7477.63,213252.0,DE,Germany,5,35064.7590643933
DEA18,4899.25,113731.0,DE,Germany,5,43077.52503714906
DEA19,5554.6,165229.0,DE,Germany,5,33617.58529071773
DEA1A,14548.76,358568.0,DE,Germany,5,40574.61904018206
DEA1B,11994.69,317411.0,DE,Germany,5,37789.144043527165
DEA1C,27192.99,489246.0,DE,Germany,5,55581.42529525024
DEA1D,21447.12,455818.0,DE,Germany,5,47051.93739606597
DEA1E,10467.87,295362.0,DE,Germany,5,35440.81499989843
DEA1F,16044.37,455854.0,DE,Germany,5,35196.29091770611
DEA22,28501.5,322221.0,DE,Germany,5,88453.26654687311
DEA23,80305.27,1021253.0,DE,Germany,5,78634.06031610188
DEA24,9211.8,167174.0,DE,Germany,5,55103.06626628543
DEA26,9793.91,276675.0,DE,Germany,5,35398.608475648325
DEA27,20203.42,473669.0,DE,Germany,5,42653.03408076104
DEA28,6774.0,199228.0,DE,Germany,5,34001.2448049471
