mun_code,mun_name,gdp_1000brl,year,population,uf_code,uf,regiao,gdp_pc_brl,ln_pop,ln_gdp_pc
2513901,São Bento - PB,724346,2023,33845,25,PB,Nordeste,21401.861427094107,10.429546556942707,9.971233179801668
2513927,São Bentinho - PB,64264,2023,4490,25,PB,Nordeste,14312.694877505568,8.4096079807363,9.568902176099485
2513943,São Domingos do Cariri - PB,39709,2023,2688,25,PB,Nordeste,14772.693452380952,7.89655270164304,9.60053571857365
2513968,São Domingos - PB,44068,2023,2624,25,PB,Nordeste,16794.20731707317,7.8724551500639794,9.728789303378113
2513984,São Francisco - PB,48447,2023,3176,25,PB,Nordeste,15254.093198992443,8.063377822367027,9.632603152512287
2514008,São João do Cariri - PB,71555,2023,4345,25,PB,Nordeste,16468.354430379746,8.376781037699493,9.70919590502762
2514107,São João do Tigre - PB,51496,2023,4359,25,PB,Nordeste,11813.718742830924,8.379997952238393,9.377016740476197
2514206,São José da Lagoa Tapada - PB,87269,2023,7251,25,PB,Nordeste,12035.443387119018,8.888894669371593,9.395611191010833
2514305,São José de Caiana - PB,63973,2023,4966,25,PB,Nordeste,12882.19895287958,8.510369966068112,9.46360171124154
2514404,São José de Espinharas - PB,66469,2023,4056,25,PB,Nordeste,16387.82051282051,8.30795254527102,9.704293686252655
2514453,São José dos Ramos - PB,78200,2023,6137,25,PB,Nordeste,12742.382271468145,8.722091302389098,9.452688903126443
2514503,São José de Piranhas - PB,289437,2023,19561,25,PB,Nordeste,14796.636163795307,9.881293067026359,9.60215514768873
2514552,São José de Princesa - PB,43362,2023,3323,25,PB,Nordeste,13049.05206139031,8.108623268354595,9.47647077113858
2514602,São José do Bonfim - PB,41022,2023,3337,25,PB,Nordeste,12293.077614623913,8.112827478751374,9.416791587372613
2514651,São José do Brejo do Cruz - PB,36303,2023,1750,25,PB,Nordeste,20744.571428571428,7.4673710669175595,9.94003987353074
2514701,São José do Sabugi - PB,129591,2023,4283,25,PB,Nordeste,30257.062806444083,8.36240897761537,10.317484917411257
2514800,São José dos Cordeiros - PB,44795,2023,3462,25,PB,Nordeste,12939.052570768343,8.149601735736155,9.46800534827766
2514909,São Mamede - PB,101241,2023,7629,25,PB,Nordeste,13270.546598505702,8.93971205409023,9.493302317020953
2515005,São Miguel de Taipu - PB,122551,2023,7307,25,PB,Nordeste,16771.725742438757,8.896588071791218,9.727449756048607
2515104,São Sebastião de Lagoa de Roça - PB,133993,2023,11387,25,PB,Nordeste,11767.19065601124,9.340227632810604,9.373070484934116
2515203,São Sebastião do Umbuzeiro - PB,46472,2023,3382,25,PB,Nordeste,13740.981667652277,8.126222529458525,9.52813800919598
2515302,Sapé - PB,852471,2023,53457,25,PB,Nordeste,15946.854481171782,10.886632871395525,9.677016877552502
2515401,São Vicente do Seridó - PB,112003,2023,10652,25,PB,Nordeste,10514.739016147203,9.273502946933823,9.260533267681101
2515500,Serra Branca - PB,187052,2023,14131,25,PB,Nordeste,13236.996673979194,9.556126244582746,9.490770966446775
2515609,Serra da Raiz - PB,47507,2023,3156,25,PB,Nordeste,15052.915082382762,8.057060681965766,9.619326944602498
2515708,Serra Grande - PB,40406,2023,3056,25,PB,Nordeste,13221.858638743455,8.024862150286411,9.489626696469214
2515807,Serra Redonda - PB,74715,2023,6975,25,PB,Nordeste,10711.827956989247,8.850087606689566,9.279103826468065
2515906,Serraria - PB,79579,2023,4754,25,PB,Nordeste,16739.37736642827,8.46674164792014,9.725519148992616
2515930,Sertãozinho - PB,71175,2023,5332,25,PB,Nordeste,13348.649662415604,8.5814816812986,9.499170509829776
2515971,Sobrado - PB,135262,2023,8646,25,PB,Nordeste,15644.459865833911,9.064852065227576,9.6578721311116
2516003,Solânea - PB,428475,2023,27748,25,PB,Nordeste,15441.653452501081,10.230919044505193,9.644823906737718
2516102,Soledade - PB,319643,2023,14409,25,PB,Nordeste,22183.565826913735,9.575608290332934,10.007107015652311
2516151,Sossêgo - PB,47775,2023,3476,25,PB,Nordeste,13744.246260069045,8.153637486385282,9.528375561705328
2516201,Sousa - PB,1714770,2023,70066,25,PB,Nordeste,24473.639140239204,11.157192933963753,10.105351863819733
2516300,Sumé - PB,255601,2023,17852,25,PB,Nordeste,14317.779520501905,9.78987082574916,9.569257367073908
2516409,Tacima - PB,106670,2023,7794,25,PB,Nordeste,13686.168847831665,8.961109485898655,9.524141028703012
2516508,Taperoá - PB,169781,2023,14358,25,PB,Nordeste,11824.836328179412,9.572062557136428,9.377957372095583
