mun_code,mun_name,uf,regiao,population,gdp_pc_brl,ln_pop,ln_gdp_pc,residual
4312054,Marques de Souza - RS,RS,Sul,4050,33949.38271604938,8.306472160100585,10.43262595067278,0.16854019676194554
4312104,Mata - RS,RS,Sul,4782,36387.703889585944,8.47261414801827,10.501986191324637,0.23275478529569682
4312138,Mato Castelhano - RS,RS,Sul,2611,49215.62619685944,7.8674885686991285,10.803966457681634,0.5534766458635811
4312153,Mato Leitão - RS,RS,Sul,5001,58997.000599880026,8.517393171418904,10.98524188430543,0.7146236086507187
4312179,Mato Queimado - RS,RS,Sul,1833,33632.29678123295,7.513709247839705,10.423242098008371,0.18370933163402903
4312203,Maximiliano de Almeida - RS,RS,Sul,4251,37541.28440366973,8.35490952835879,10.533196523824511,0.26761059617856553
4312252,Minas do Leão - RS,RS,Sul,7661,37992.55971805247,8.94389780251682,10.545145622644453,0.26131789592985655
4312302,Miraguaí - RS,RS,Sul,4501,44567.2072872695,8.412054873292933,10.704753604952751,0.4373978052300025
4312351,Montauri - RS,RS,Sul,1530,48191.50326797386,7.333023014386481,10.782938003751983,0.5490013453304456
4312377,Monte Alegre dos Campos - RS,RS,Sul,3251,36004.613964933866,8.086717920303906,10.491402374918334,0.234122720318366
4312385,Monte Belo do Sul - RS,RS,Sul,2608,48625.766871165644,7.866338923046544,10.791908851925754,0.5414546462579679
4312401,Montenegro - RS,RS,Sul,66352,79265.68905232698,11.102729182486163,11.280560641260763,0.929870856362081
4312427,Mormaço - RS,RS,Sul,2815,36337.12255772646,7.942717540573791,10.500595157684915,0.2477753983122355
4312443,Morrinhos do Sul - RS,RS,Sul,3133,32954.995212256625,8.049746290952191,10.402898128205566,0.14676353720612312
4312450,Morro Redondo - RS,RS,Sul,6168,24842.088197146564,8.727129915243166,10.120294598421747,-0.15681952053922288
4312476,Morro Reuter - RS,RS,Sul,6167,49301.11885844009,8.726967774991493,10.80570205467062,0.528592957422342
4312500,Mostardas - RS,RS,Sul,12347,40037.33700494047,9.421168397567744,10.597567722849258,0.29895825144078003
4312609,Muçum - RS,RS,Sul,4692,58261.50895140665,8.453614209773367,10.972696930476793,0.7040539793814862
4312617,Muitos Capões - RS,RS,Sul,2937,323562.13823629555,7.98514393119862,12.687146455579256,2.4330126909420535
4312625,Muliterno - RS,RS,Sul,1754,40575.826681870014,7.469654172932128,10.610927766343325,0.3727594478870113
4312658,Não-Me-Toque - RS,RS,Sul,18335,161001.36351240796,9.816567080505427,11.989168112951905,1.6783125856495822
4312674,Nicolau Vergueiro - RS,RS,Sul,1982,51373.86478304743,7.591861714889934,10.846884854874059,0.6049315961687132
4312708,Nonoai - RS,RS,Sul,14074,38324.14381128322,9.552084402526495,10.553835363276072,0.2511712382146971
4312757,Nova Alvorada - RS,RS,Sul,3229,62540.1052957572,8.079927770758275,11.043563314664992,0.7864939605906738
4312807,Nova Araçá - RS,RS,Sul,5098,93129.65868968223,8.53660358493606,11.441747980628522,1.1705347313236043
4312906,Nova Bassano - RS,RS,Sul,9867,77537.04266747745,9.196951134857168,11.258511071053144,0.9668459250812571
4312955,Nova Boa Vista - RS,RS,Sul,2089,65957.8745811393,7.644440761556566,11.0967715533093,0.8531898472365
4313003,Nova Bréscia - RS,RS,Sul,3104,49604.70360824742,8.04044688130311,10.811840939028302,0.5559943638854037
4313011,Nova Candelária - RS,RS,Sul,3138,71985.9783301466,8.051340933292979,11.184226633618211,0.9280426542923053
4313037,Nova Esperança do Sul - RS,RS,Sul,4976,39637.8617363344,8.512381634419015,10.587540044918725,0.3170769836460128
4313060,Nova Hartz - RS,RS,Sul,20558,51287.18746959821,9.931005438572868,10.845196243036495,0.5307963980877872
4313086,Nova Pádua - RS,RS,Sul,2389,48507.32524068648,7.77863014732581,10.789470101411245,0.5417323604566864
4313102,Nova Palma - RS,RS,Sul,5676,54061.31078224102,8.644002038279933,10.8978740663408,0.6233345351859008
4313201,Nova Petrópolis - RS,RS,Sul,23934,46110.888276092584,10.083055321133461,10.738804389298272,0.4196953446459748
4313300,Nova Prata - RS,RS,Sul,26637,58537.97349551376,10.190056505700436,10.97743094221439,0.6550079196874599
4313334,Nova Ramada - RS,RS,Sul,2198,93265.24112829845,7.6953031349635665,11.443202767885694,1.198045782241886
4313359,Nova Roma do Sul - RS,RS,Sul,3545,58300.14104372355,8.173293438966228,10.973359791610504,0.7133987708696559
4313375,Nova Santa Rita - RS,RS,Sul,30189,106972.17529563748,10.315232898601442,11.580324035660743,1.2540241233761975
4313391,Novo Cabrais - RS,RS,Sul,3633,36246.62813102119,8.197814032221203,10.498101638881186,0.23738118072056835
4313409,Novo Hamburgo - RS,RS,Sul,235802,50621.20762334501,12.370747748813645,10.832125890459059,0.4421637788993227
4313425,Novo Machado - RS,RS,Sul,3239,43500.77184316147,8.08301991917133,10.680533960440314,0.4233688381605578
4313441,Novo Tiradentes - RS,RS,Sul,2187,33540.466392318245,7.690286020676768,10.420507940835623,0.17550634231026763
4313466,Novo Xingu - RS,RS,Sul,1677,40394.15623136553,7.424761761823209,10.606440405748272,0.36966246869526564
4313490,Novo Barreiro - RS,RS,Sul,4375,27500.114285714284,8.383661798791715,10.221945439490183,-0.04453098659693211
4313508,Osório - RS,RS,Sul,48999,43714.15743178432,10.799555168721248,10.685427297307873,0.3441272399888131
4313607,Paim Filho - RS,RS,Sul,3685,44184.80325644505,8.212025804623437,10.696136191219436,0.4349755743868293
4313656,Palmares do Sul - RS,RS,Sul,13189,56096.36818560922,9.487138427825885,10.934826351190743,0.6341736947320324
4313706,Palmeira das Missões - RS,RS,Sul,34227,49911.59026499547,10.440770085264479,10.818008524608736,0.4878205482739766
4313805,Palmitinho - RS,RS,Sul,8042,32992.414822183535,8.992433087457218,10.404032960154941,0.11870202708723454
4313904,Panambi - RS,RS,Sul,45102,88936.54383397632,10.716681870405523,11.395678403786096,1.0569450496126862
4313953,Pantano Grande - RS,RS,Sul,10443,55215.3595710045,9.253687176479549,10.91899644665788,0.6255741053110846
4314001,Paraí - RS,RS,Sul,7362,66321.10839445803,8.904086913938967,11.102263502493072,0.8196687752489993
4314027,Paraíso do Sul - RS,RS,Sul,6627,34711.6342236306,8.798907492088226,10.454830189961,0.1754930180261578
4314035,Pareci Novo - RS,RS,Sul,4441,35859.94145462733,8.398634855292102,10.487376114548402,0.2204359517451131
4314050,Parobé - RS,RS,Sul,53569,32215.385764154642,10.888725821536315,10.380199436176031,0.03613763774455592
4314068,Passa Sete - RS,RS,Sul,4024,35938.86679920477,8.300031711779575,10.489574629490006,0.2256883453637819
4314076,Passo do Sobrado - RS,RS,Sul,6155,45795.45085296507,8.725020038618554,10.731940038814614,0.45489126571388283
4314100,Passo Fundo - RS,RS,Sul,214811,65497.29762442333,12.277513850733943,11.089764163129832,0.7026896371295681
4314134,Paulo Bento - RS,RS,Sul,2188,109030.16453382085,7.690743163541872,11.599379861768544,1.3543641048827304
4314159,Paverama - RS,RS,Sul,8146,36982.81365087159,9.005282288208358,10.518208587792323,0.2324796968219225
4314175,Pedras Altas - RS,RS,Sul,2099,82349.69032872797,7.649216319820633,11.318729975170397,1.0750003633104779
4314209,Pedro Osório - RS,RS,Sul,7631,31767.134058445812,8.939974177289633,10.366187514143357,0.08248130764597938
4314308,Pejuçara - RS,RS,Sul,3817,76783.86167146974,8.247220052745229,11.248749762568348,0.9864991301432777
4314407,Pelotas - RS,RS,Sul,336150,37129.01680797263,12.725312767897183,10.522154067099892,0.12121057591228457
4314423,Picada Café - RS,RS,Sul,5473,71889.64005116024,8.607582191143917,11.182887445026452,0.9094758879972122
4314456,Pinhal - RS,RS,Sul,3039,50716.354063836785,8.019283792916793,10.834003702927925,0.5788125785349862
4314464,Pinhal da Serra - RS,RS,Sul,2300,108267.82608695653,7.7406644019172415,11.592363307475459,1.3458014193003542
4314472,Pinhal Grande - RS,RS,Sul,3861,129758.61175861176,8.258681496264236,11.773431170760967,1.5108255612355297
4314498,Pinheirinho do Vale - RS,RS,Sul,4638,30307.460112117293,8.442038517815478,10.319149169513869,0.0508647339545103
4314506,Pinheiro Machado - RS,RS,Sul,11395,31408.161474330846,9.340929941679784,10.354823057687783,0.058698684632034315
