geo,country_code,country,population,gdp_value,gdp_per_capita,ln_pop,ln_gdp_pc
DEA29,DE,Germany,261239.0,8372.74,32050.115028766762,12.473190976111548,10.37505605138346
DEA2A,DE,Germany,273634.0,11712.33,42802.90460980726,12.519546726015626,10.664361243982306
DEA2B,DE,Germany,283037.0,9155.09,32345.91237188071,12.553332910128848,10.384242935589327
DEA2C,DE,Germany,602933.0,20515.33,34025.88679007452,13.309561358424915,10.434876890077156
DEA2D,DE,Germany,580359.0,26080.78,44939.046348897835,13.271402156559697,10.713062324973393
DEA31,DE,Germany,118327.0,3446.34,29125.55883272626,11.681207257230376,10.27937137807367
DEA32,DE,Germany,264644.0,10279.45,38842.55830474146,12.48614080557627,10.567271788020355
DEA33,DE,Germany,305222.0,21784.21,71371.69011408089,12.628794659673945,11.175656572700287
DEA34,DE,Germany,377154.0,17870.07,47381.36145977505,12.840408871085273,10.765984212204433
DEA35,DE,Germany,224745.0,8253.3,36722.95267970366,12.322721705145355,10.511157252168973
DEA36,DE,Germany,621933.0,19026.18,30592.009107090315,13.34058764887762,10.328494113546244
DEA37,DE,Germany,447192.0,18457.76,41274.79919139877,13.010743311575359,10.62800740363776
DEA38,DE,Germany,281090.0,11163.29,39714.29079654203,12.546430181733196,10.589466371587935
DEA41,DE,Germany,331385.0,18053.67,54479.442340480105,12.71103612042759,10.90557870472989
DEA42,DE,Germany,361931.0,21463.33,59302.27032224374,12.799208864905138,10.990402869619624
DEA43,DE,Germany,254949.0,10155.19,39832.24095799552,12.448818804137897,10.59243193766091
DEA44,DE,Germany,138943.0,4697.48,33808.684136660355,11.84181905606789,10.428472975591118
DEA45,DE,Germany,348275.0,12891.11,37014.169837054054,12.760747676574425,10.519056086881644
DEA46,DE,Germany,320648.0,14853.99,46324.91080561862,12.678099227227134,10.74343512574682
DEA47,DE,Germany,313921.0,14127.04,45001.89538132205,12.656896640879037,10.714459887450387
DEA51,DE,Germany,356209.0,15966.75,44824.10607255853,12.7832729162226,10.710501355665633
DEA52,DE,Germany,599370.0,29577.58,49347.78183759614,13.303634382562104,10.806648096285015
DEA53,DE,Germany,189957.0,7510.25,39536.57933111178,12.154553009739868,10.584981581376592
DEA54,DE,Germany,179479.0,6603.1,36790.37659001889,12.097813488422961,10.512991584252434
DEA55,DE,Germany,155603.0,5227.48,33594.98210188749,11.955063170746223,10.42213199259291
DEA56,DE,Germany,315325.0,11341.63,35968.064695155794,12.661359131955393,10.490386731938239
DEA57,DE,Germany,261006.0,11716.06,44888.08686390351,12.472298674546346,10.711927712554214
DEA58,DE,Germany,410629.0,17193.59,41871.34858960278,12.925445409421664,10.64235706746518
DEA59,DE,Germany,132519.0,7393.44,55791.54687252394,11.794481310354573,10.929377647153958
DEA5A,DE,Germany,274634.0,12639.42,46022.77940823059,12.523194581111689,10.736891757424686
DEA5B,DE,Germany,299749.0,13447.49,44862.501626360725,12.610700736770768,10.711357571707982
DEA5C,DE,Germany,395619.0,14639.73,37004.618079515894,12.888206905888797,10.518797996797762
DEB11,DE,Germany,113294.0,10245.41,90432.06171553656,11.637741488861854,11.412354148496378
DEB12,DE,Germany,127881.0,4316.82,33756.53928261431,11.758855422974294,10.42692943405421
DEB13,DE,Germany,131657.0,4310.58,32740.986047076873,11.787955334798417,10.396382967975478
DEB14,DE,Germany,163979.0,5972.49,36422.285780496284,12.007493649826902,10.502936112995206
DEB15,DE,Germany,82350.0,2891.6,35113.53976927747,11.318733735605786,10.46634208348463
DEB17,DE,Germany,216056.0,8333.99,38573.28655533751,12.283292912323688,10.560315257718258
DEB18,DE,Germany,187905.0,7634.08,40627.33828264283,12.143691794946402,10.612196475702248
DEB1A,DE,Germany,124860.0,4074.21,32630.22585295531,11.734948388615734,10.392994311198573
DEB1B,DE,Germany,207154.0,9020.65,43545.62306303523,12.241217756998095,10.681564473510758
DEB1C,DE,Germany,61509.0,2480.39,40325.6434017786,11.026938784551156,10.604742858272909
DEB1D,DE,Germany,105740.0,4682.04,44278.79704936637,11.56873852978944,10.698261219546733
DEB21,DE,Germany,103307.0,5906.04,57169.79488321218,11.545460416606641,10.953780976412018
DEB22,DE,Germany,113299.0,4528.11,39966.0191175562,11.637785620851817,10.595784849986618
