country_code,country_name,income_group,year,MUQ_raw,MUQ_ma5,urban_pct
KOR,Korea,HI,1998,9.082803849094653,11.650412052539313,79.1812369650495
KOR,Korea,HI,1999,16.62987762744143,9.881455783292619,79.3623394908518
KOR,Korea,HI,2000,10.735707859950631,12.443918419924369,79.579960745642
KOR,Korea,HI,2001,8.170957296147078,14.267440407840667,79.8787704357425
KOR,Korea,HI,2002,17.600245466988056,13.676831102940476,80.2766294544335
KOR,Korea,HI,2003,18.20041378867614,14.657205517270425,80.707793508044
KOR,Korea,HI,2004,,18.150491824729368,81.104386778171
KOR,Korea,HI,2005,,,81.3901352283669
KOR,Korea,HI,2006,18.65081621852391,,81.566462110512
KOR,Korea,HI,2007,,,81.712125801927
KOR,Korea,HI,2008,,16.572045604111782,81.8350833138518
KOR,Korea,HI,2009,12.95874736574363,16.698645140701935,81.9245045084002
KOR,Korea,HI,2010,18.10657322806781,16.698645140701935,81.9685075986486
KOR,Korea,HI,2011,19.030614828294365,16.698645140701935,81.9615408086376
KOR,Korea,HI,2012,,,81.9087898200378
KOR,Korea,HI,2013,,,81.8269383502703
KOR,Korea,HI,2014,,,81.7315682816954
KOR,Korea,HI,2015,8.553955852375788,11.429159975528206,81.639489860678
KOR,Korea,HI,2016,13.277191650606678,11.429159975528206,81.5559241797057
KOR,Korea,HI,2017,12.456332423602152,11.6503365109393,81.471030429984
KOR,Korea,HI,2018,,12.682463397127137,81.3823523035196
KOR,Korea,HI,2019,12.313866117172577,,81.2901063535619
KOR,Korea,HI,2020,,,81.1759595622913
KOR,Korea,HI,2021,,,81.1616526507785
KOR,Korea,HI,2022,,,81.1624941626873
KOR,Korea,HI,2023,,,81.1645551720421
POL,Poland,HI,1960,,,48.0560460566307
POL,Poland,HI,1961,,,48.6117275049923
POL,Poland,HI,1962,,,49.0876391652269
POL,Poland,HI,1963,,,49.5042258170874
POL,Poland,HI,1964,,,49.8770379382713
POL,Poland,HI,1965,,,50.221626006476
POL,Poland,HI,1966,,,50.553540499399
POL,Poland,HI,1967,,,50.8883318947378
POL,Poland,HI,1968,,,51.2415506701898
POL,Poland,HI,1969,,,51.6287473034525
POL,Poland,HI,1970,,,52.0669426831476
POL,Poland,HI,1971,,,52.573371987575
POL,Poland,HI,1972,,,53.1783979300284
POL,Poland,HI,1973,,,53.8553256612611
POL,Poland,HI,1974,,,54.5736658357177
POL,Poland,HI,1975,,,55.3029291078427
POL,Poland,HI,1976,,,56.0126261320806
POL,Poland,HI,1977,,,56.6722675628761
POL,Poland,HI,1978,,,57.2426552667943
POL,Poland,HI,1979,,,57.7421578493495
POL,Poland,HI,1980,,,58.2293445273576
POL,Poland,HI,1981,,,58.7149763737717
POL,Poland,HI,1982,,,59.1879461568081
POL,Poland,HI,1983,,,59.6371466446833
POL,Poland,HI,1984,,,60.051470605614
POL,Poland,HI,1985,,,60.4198108078166
POL,Poland,HI,1986,,,60.7310600195075
POL,Poland,HI,1987,,,60.9741110089033
POL,Poland,HI,1988,,,61.132169783268
POL,Poland,HI,1989,,,61.2259791140646
POL,Poland,HI,1990,,,61.3009151063249
POL,Poland,HI,1991,,,61.3708913076577
POL,Poland,HI,1992,,,61.4357163819024
POL,Poland,HI,1993,,,61.4951989928981
POL,Poland,HI,1994,,,61.5491478044841
POL,Poland,HI,1995,,,61.5973714804995
POL,Poland,HI,1996,11.411844644302017,7.683278682788493,61.6396786847836
POL,Poland,HI,1997,-1.2678945772414132,8.863138070344373,61.6758780811754
POL,Poland,HI,1998,12.905885981304875,8.863138070344373,61.7057783335144
POL,Poland,HI,1999,12.402716233012017,8.013569212358492,61.7291881056396
POL,Poland,HI,2000,,,61.7459160613903
POL,Poland,HI,2001,,,61.7557708646056
POL,Poland,HI,2002,,,61.7581534555696
POL,Poland,HI,2003,,,61.7281374379602
POL,Poland,HI,2004,,,61.6555172559989
POL,Poland,HI,2005,,,61.5497010774856
POL,Poland,HI,2006,12.571448756184912,15.611046332026831,61.4199688499096
POL,Poland,HI,2007,14.500747582676,15.148052111245986,61.2756005207604
POL,Poland,HI,2008,19.760942657219584,15.148052111245986,61.1258760375274
POL,Poland,HI,2009,13.759069448903452,16.259802034439964,60.9800753477
POL,Poland,HI,2010,,14.4023212376345,60.8474783987677
POL,Poland,HI,2011,17.018448448960832,12.616114097772803,60.7357090652544
POL,Poland,HI,2012,7.070824395454134,12.219989601200643,60.6341632788866
POL,Poland,HI,2013,,12.219989601200643,60.5333187465323
POL,Poland,HI,2014,12.570695959186958,7.4401142473847734,60.4340063344328
POL,Poland,HI,2015,,,60.3362886805635
POL,Poland,HI,2016,2.6788223875132275,9.78932548094391,60.2402284228997
POL,Poland,HI,2017,,7.658284228026446,60.145888199417
POL,Poland,HI,2018,14.118458096131548,7.658284228026446,60.0533306480907
POL,Poland,HI,2019,6.177572200434561,,59.9626184068963
POL,Poland,HI,2020,,,59.8738141138092
POL,Poland,HI,2021,,,59.8096513205543
POL,Poland,HI,2022,,,59.8315488048321
POL,Poland,HI,2023,,,59.8859561370214
RWA,Rwanda,LI,1960,,,2.59999990463257
RWA,Rwanda,LI,1961,,,2.6660734140367
RWA,Rwanda,LI,1962,,,2.72479324269835
RWA,Rwanda,LI,1963,,,2.778672593081
RWA,Rwanda,LI,1964,,,2.83022466764814
RWA,Rwanda,LI,1965,,,2.88196266886324
RWA,Rwanda,LI,1966,8.944125701036274,,2.93639979918979
RWA,Rwanda,LI,1967,,9.186141605478676,2.99604926109125
RWA,Rwanda,LI,1968,13.44453444765232,8.565888729138875,3.06342425703111
RWA,Rwanda,LI,1969,5.169764667747438,6.975591987236764,3.14103798947284
RWA,Rwanda,LI,1970,6.70513010011947,7.8267898744057955,3.23622901071629
RWA,Rwanda,LI,1971,2.58293873342783,7.652412983999059,3.37114790204624
RWA,Rwanda,LI,1972,11.23158142308192,8.140160319165394,3.54970397117073
RWA,Rwanda,LI,1973,12.572649995618644,8.370648143543907,3.75495425404808
RWA,Rwanda,LI,1974,7.6085013435791105,8.43755848606309,3.97236937390495
RWA,Rwanda,LI,1975,7.857569222012025,8.802010080079295,4.18741995396801
RWA,Rwanda,LI,1976,2.917490446023751,7.325037327776734,4.38557661746392
RWA,Rwanda,LI,1977,13.053839393162946,6.848736104326642,4.55230998761934
RWA,Rwanda,LI,1978,5.187786234105835,6.596527824905296,4.67223759552739
RWA,Rwanda,LI,1979,5.226995226328653,7.558216939455864,4.7524275952808
RWA,Rwanda,LI,1980,,6.464829799301402,4.81638822421827
RWA,Rwanda,LI,1981,6.76424690422602,8.81871666113569,4.86825389406667
RWA,Rwanda,LI,1982,8.680290832545099,11.968694012827607,4.91095896081457
RWA,Rwanda,LI,1983,14.60333368144299,13.285190323560977,4.94743778045056
RWA,Rwanda,LI,1984,17.82690463309632,14.716639847064517,4.98062470896321
RWA,Rwanda,LI,1985,18.55117556649446,16.22572710069437,5.01345410234109
RWA,Rwanda,LI,1986,13.92149452174372,16.7665249071115,5.04886031657278
RWA,Rwanda,LI,1987,,,5.08977770764686
RWA,Rwanda,LI,1988,,,5.1391406315519
